threshold,sensitivity,specificity,accuracy,precision,f1,tn,fp,fn,tp,meets_constraints
0.0,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.001,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.002,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.003,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.004,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.005,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.006,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.007,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.008,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.009000000000000001,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.01,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.011,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.012,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.013000000000000001,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.014,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.015,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.016,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.017,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.018000000000000002,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
